timestamp,price
1746856304.343,0.89409
1746856304.844,0.89405
1746856305.345,0.89403
1746856305.845,0.894
1746856306.168,0.894
1746856306.846,0.8942
1746856307.346,0.8942
1746856307.862,0.89429
1746856308.347,0.89432
1746856308.847,0.89432
1746856309.169,0.89432
1746856309.846,0.8944
1746856310.348,0.89443
1746856310.848,0.89439
1746856311.348,0.89435
1746856311.864,0.89437
1746856312.171,0.89437
1746856312.866,0.89447
1746856313.35,0.8945
1746856313.836,0.89443
1746856314.351,0.89434
1746856314.851,0.89434
1746856315.173,0.89434
1746856315.852,0.89437
1746856316.353,0.89434
1746856316.87,0.89415
1746856317.354,0.89418
1746856317.854,0.89415
1746856318.175,0.89415
1746856318.854,0.89402
1746856319.369,0.89405
1746856319.853,0.89405
1746856320.356,0.89402
1746856320.856,0.8939
1746856321.178,0.8939
1746856321.858,0.89382
1746856322.358,0.89374
1746856322.859,0.89371
1746856323.358,0.89348
1746856323.858,0.89341
1746856324.18,0.89341
1746856324.859,0.89345
1746856325.376,0.8934
1746856325.876,0.8933
1746856326.361,0.8934
1746856326.862,0.89348
1746856327.18,0.89348
1746856327.851,0.89347
1746856328.377,0.89352
1746856328.877,0.89349
1746856329.378,0.89341
1746856329.877,0.89341
1746856330.18,0.89341
1746856330.38,0.89343
1746856330.879,0.8934
1746856331.369,0.89346
1746856331.911,0.8935
1746856332.383,0.89347
1746856332.882,0.89355
1746856333.181,0.89355
1746856333.382,0.89357
1746856333.883,0.89351
1746856334.382,0.89351
1746856334.882,0.89354
1746856335.384,0.89354
1746856335.883,0.89358
1746856336.18,0.89358
1746856336.385,0.89358
1746856336.885,0.89358
1746856337.38,0.89358
1746856337.902,0.89358
1746856338.419,0.8936
1746856338.918,0.89347
1746856339.181,0.89347
1746856339.403,0.8934
1746856339.903,0.89337
1746856340.38,0.89337
1746856340.889,0.89347
1746856341.389,0.89349
1746856341.905,0.89349
1746856342.181,0.89349
1746856342.393,0.89346
1746856342.892,0.89343
1746856343.382,0.89343
1746856343.893,0.89347
1746856344.392,0.89355
1746856344.892,0.89358
1746856345.182,0.89358
1746856345.395,0.89355
1746856345.894,0.89355
1746856346.383,0.89355
1746856346.894,0.89364
1746856347.394,0.89366
1746856347.895,0.89363
1746856348.183,0.89363
1746856348.395,0.89365
1746856348.896,0.8936
1746856349.383,0.8936
1746856349.896,0.89354
1746856350.398,0.8936
1746856350.899,0.89363
1746856351.184,0.89363
1746856351.397,0.89354
1746856351.898,0.89357
1746856352.383,0.89357
1746856352.9,0.89357
1746856353.4,0.89387
1746856353.901,0.89383
1746856354.184,0.89383
1746856354.4,0.89379
1746856354.9,0.89382
1746856355.384,0.89382
1746856355.902,0.89382
1746856356.403,0.8938
1746856356.903,0.89386
1746856357.185,0.89386
1746856357.403,0.89381
1746856357.904,0.89383
1746856358.386,0.89383
1746856358.904,0.89384
1746856359.403,0.89381
1746856359.919,0.89379
1746856360.186,0.89379
1746856360.408,0.89375
1746856360.905,0.89372
1746856361.386,0.89372
1746856361.921,0.89374
1746856362.393,0.8937
1746856362.907,0.89374
1746856363.189,0.89374
1746856363.409,0.89369
1746856363.907,0.89371
